# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.575151036064683012e+03 4.167009498774652343e+01
2.249999999999577616e-01 6.409588267536278638e-02 4.424910106372333396e-01
3.750000000000000000e-01 6.044957486659031237e-02 3.316595616450127015e-01
5.249999999999700462e-01 6.600000676711359482e-02 2.937703242436554008e-01
6.750000000001169509e-01 6.580021122172222126e-02 2.573654075422430743e-01
8.249999999998777200e-01 7.018912816933399468e-02 2.411686665804304297e-01
9.750000000001839418e-01 7.207705568276784325e-02 2.255078063181416015e-01
1.125000000000000000e+00 7.943430702745560290e-02 2.196377085605434876e-01
1.274999999999773648e+00 7.878954447752443968e-02 2.063613332050912574e-01
1.424999999999764455e+00 8.335773918386996106e-02 1.998021675723212764e-01
1.575000000000282396e+00 9.115563186425701403e-02 1.982992343984213979e-01
1.725000000000170397e+00 9.398190056355050503e-02 1.947967911019573284e-01
1.875000000000000000e+00 1.031560338738514160e-01 1.928132843185406953e-01
2.025000000000070521e+00 1.202668916040624814e-01 2.024568095839425763e-01
2.174999999999594813e+00 1.264922733749529737e-01 1.995581080536703855e-01
2.325000000000426059e+00 1.445443570534663547e-01 2.081503930335018848e-01
2.474999999999678124e+00 1.628639024785555334e-01 2.124253003027966047e-01
2.625000000000000000e+00 1.876255474925291322e-01 2.255701568632058618e-01
2.775000000000444444e+00 2.181762630819991666e-01 2.310919414640826564e-01
2.924999999999512212e+00 2.539848665435163189e-01 2.444519177649441266e-01
3.075000000000499334e+00 3.052348417178479822e-01 2.611567163193458940e-01
3.224999999999414779e+00 3.534183423882940600e-01 2.727766815611927242e-01
3.375000000000000000e+00 4.206925291883110707e-01 2.933489519357834752e-01
3.525000000000659384e+00 5.017546294380624827e-01 3.094923403564592279e-01
3.674999999999857714e+00 6.154624561440873443e-01 3.371275342909009765e-01
3.825000000000022382e+00 7.510168084098447494e-01 3.586196242818008861e-01
3.974999999999250466e+00 9.092688504049660780e-01 3.921019122300605786e-01
4.125000000000000000e+00 1.047715235819216550e+00 4.111552679964493029e-01
4.275000000000798828e+00 1.090889535870440463e+00 4.079185373336561282e-01
4.425000000000374634e+00 1.041678201941171000e+00 3.965174876948749927e-01
4.574999999999541878e+00 9.521818663963609319e-01 3.726199033188014598e-01
4.724999999999138112e+00 8.577571985934809851e-01 3.483625900443877987e-01
4.875000000000000000e+00 7.706322341227529460e-01 3.275674937946428944e-01
5.025000000000897415e+00 7.198247392859532523e-01 3.081279246243470160e-01
5.175000000000743228e+00 6.735360955878307854e-01 2.969937649156725867e-01
5.324999999999196376e+00 6.603803028406138864e-01 2.878065234948050666e-01
5.474999999999057287e+00 6.408051844954603116e-01 2.818230105786213580e-01
5.625000000000000000e+00 6.575535479985550324e-01 2.818816624266273774e-01
5.775000000000969358e+00 6.760556801382283654e-01 2.821385702155920217e-01
5.925000000001017675e+00 7.197949574103467141e-01 2.888941194935419898e-01
6.074999999998936140e+00 7.614624233970028744e-01 2.919565576408568175e-01
6.224999999998995115e+00 8.236953465901607485e-01 3.010127921689504937e-01
6.375000000000000000e+00 8.955651728915642318e-01 3.089576975929440028e-01
6.525000000001025313e+00 9.819893580601045668e-01 3.168313528778407551e-01
6.675000000001229949e+00 1.094800871164051559e+00 3.366511193172602723e-01
6.824999999998733635e+00 1.208964431786950344e+00 3.445366211867796347e-01
6.974999999999387690e+00 1.295961989718181773e+00 3.527175340136909920e-01
7.125000000000000000e+00 1.339765880414583554e+00 3.539387737576535908e-01
7.275000000000346745e+00 1.336660009029262186e+00 3.506993139619933864e-01
7.425000000001398703e+00 1.301481295511279335e+00 3.373942893749146132e-01
7.574999999998571099e+00 1.239249384019450728e+00 3.325174628516531228e-01
7.725000000000012079e+00 1.180326025775364940e+00 3.184583043640032418e-01
7.875000000000000000e+00 1.122102778456109284e+00 3.086435224940199396e-01
8.024999999999771205e+00 1.074221132049382188e+00 2.960840943761584021e-01
8.175000000001539036e+00 1.039456449365195212e+00 2.913180537875189602e-01
8.324999999998437872e+00 1.019957269427621105e+00 2.885533334538822881e-01
8.475000000000525446e+00 1.002363102330130262e+00 2.839359435312738267e-01
8.625000000000000000e+00 9.876074601785175266e-01 2.783685299620168863e-01
8.774999999999291589e+00 9.777183413113081922e-01 2.727219569009363132e-01
8.925000000001652722e+00 9.682798995323904645e-01 2.735141988190083473e-01
9.074999999998325961e+00 9.626515737843122089e-01 2.656044184253801288e-01
9.225000000000957101e+00 9.529474098719064035e-01 2.674575156935184439e-01
9.375000000000000000e+00 9.569874948403894743e-01 2.651319714722274457e-01
9.524999999998890132e+00 9.543956417327407182e-01 2.599043748664990328e-01
9.675000000001750422e+00 9.680541087781046050e-01 2.569541307059457491e-01
9.824999999998231814e+00 9.838805464923652266e-01 2.588588842752819752e-01
9.975000000001321254e+00 1.007779951832136645e+00 2.638425464780451146e-01
1.012500000000000000e+01 1.034731050478161718e+00 2.618405806233350952e-01
1.027499999999854730e+01 1.045567016464196364e+00 2.628100496889871351e-01
1.042500000000183391e+01 1.051919116215047634e+00 2.603271986195183074e-01
1.057499999999815010e+01 1.044990387465919657e+00 2.589730313318106547e-01
1.072500000000163745e+01 1.039625208847061888e+00 2.546377506596894102e-01
1.087500000000000000e+01 1.045998057454023522e+00 2.579451946859490086e-01
1.102499999999824887e+01 1.036742594415016816e+00 2.535092247065106608e-01
1.117500000000190674e+01 1.046464206336164215e+00 2.543574942576147246e-01
1.132499999999808082e+01 1.051714427477836722e+00 2.507602736615307526e-01
1.147500000000190923e+01 1.050734196494779837e+00 2.468956776604086800e-01
1.162500000000000000e+01 1.053446063208356875e+00 2.482912372973799797e-01
1.177499999999798952e+01 1.054387118465460071e+00 2.467511620973170949e-01
1.192500000000196891e+01 1.053051424729787078e+00 2.456903439790318056e-01
1.207499999999801865e+01 1.051196850432922547e+00 2.423129841202248946e-01
1.222500000000215081e+01 1.040092211681658663e+00 2.382757224120465589e-01
1.237500000000000000e+01 1.035153545776613671e+00 2.351190406839831215e-01
1.252499999999776215e+01 1.021117473864941116e+00 2.350080771942039404e-01
1.267500000000202398e+01 1.019831439133971562e+00 2.306728138535554529e-01
1.282499999999796536e+01 1.011945476251915776e+00 2.309698844392429895e-01
1.297500000000236220e+01 1.001249263427476777e+00 2.271673389305585433e-01
1.312500000000000000e+01 9.958747988702264520e-01 2.226650628685515609e-01
1.327499999999756142e+01 9.921659967333263941e-01 2.219359385689771147e-01
1.342500000000173088e+01 9.899352041675589797e-01 2.235386761198243921e-01
1.357499999999841833e+01 9.909240293700302127e-01 2.245023293473208392e-01
1.372500000000255049e+01 9.890091474455076082e-01 2.190804765774515828e-01
1.387500000000000000e+01 9.950653943728055006e-01 2.202106363654953713e-01
1.402499999999738023e+01 9.936981708533431101e-01 2.153134418100855763e-01
1.417500000000102034e+01 9.992026090403535177e-01 2.181313792484695924e-01
1.432499999999911111e+01 9.992772806605785263e-01 2.178458331733939546e-01
1.447500000000271925e+01 1.007905298062446331e+00 2.150482512941349900e-01
1.462500000000000000e+01 1.004821709719645018e+00 2.168868370952055091e-01
1.477499999999721680e+01 1.004389421884562594e+00 2.129537999979885243e-01
1.492500000000038618e+01 1.010643883916611419e+00 2.115654858782232139e-01
1.507499999999973639e+01 1.010685843948094353e+00 2.112775120133797979e-01
1.522500000000287201e+01 1.005102172851759956e+00 2.090349840699326778e-01
1.537500000000000000e+01 1.010204960465131752e+00 2.093441471571951817e-01
1.552499999999706937e+01 1.008288334185766688e+00 2.094986036894607717e-01
1.567499999999980886e+01 1.004243511149413681e+00 2.053443163604161403e-01
1.582500000000029772e+01 1.009982489633104441e+00 2.066995354071994584e-01
1.597500000000300879e+01 1.007809407655555933e+00 2.079039794309635314e-01
1.612500000000000000e+01 1.005063799962317095e+00 2.039260949905419840e-01
1.627499999999693969e+01 1.008956625344856750e+00 2.073725761747263752e-01
1.642499999999928662e+01 1.007563654836269196e+00 2.007209768452358767e-01
1.657500000000081286e+01 1.008204486582314319e+00 2.036736061135305809e-01
1.672500000000313847e+01 1.003159036400103954e+00 2.011812287430349566e-01
1.687500000000000000e+01 1.004357072706755449e+00 1.982702068188453293e-01
