# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743430652847777765e+03 8.380214089038015013e-01
2.249999999999577616e-01 9.414244550682886181e-02 5.118195667689030559e-01
3.750000000000000000e-01 8.715858456418537625e-02 3.818533566317209305e-01
5.249999999999700462e-01 9.015166782531687517e-02 3.292675428143782557e-01
6.750000000001169509e-01 8.864847489861746310e-02 2.860217490955498931e-01
8.249999999998777200e-01 1.040722259743663142e-01 2.835940165916909783e-01
9.750000000001839418e-01 9.960060144354164480e-02 2.556382577748190221e-01
1.125000000000000000e+00 1.082777800547354979e-01 2.434485693162530273e-01
1.274999999999773648e+00 1.108215486992610993e-01 2.334722269811667084e-01
1.424999999999764455e+00 1.254889539904374129e-01 2.363811522890159333e-01
1.575000000000282396e+00 1.360057033858700637e-01 2.349146867266847793e-01
1.725000000000170397e+00 1.465882047248034115e-01 2.350468171094150238e-01
1.875000000000000000e+00 1.562150015650474455e-01 2.272401612633642154e-01
2.025000000000070521e+00 1.693508680136178168e-01 2.275430469212259832e-01
2.174999999999594813e+00 1.884197517766945384e-01 2.345972887909942295e-01
2.325000000000426059e+00 2.032438705811282498e-01 2.342063564453664981e-01
2.474999999999678124e+00 2.263786779735438293e-01 2.350964103587379339e-01
2.625000000000000000e+00 2.469892307086773153e-01 2.415820924058959818e-01
2.775000000000444444e+00 2.788485796698847441e-01 2.519559136620452278e-01
2.924999999999512212e+00 3.087296312706118151e-01 2.607103433763047762e-01
3.075000000000499334e+00 3.482050863158603349e-01 2.671269263044145359e-01
3.224999999999414779e+00 3.850023880771175078e-01 2.729678598395708367e-01
3.375000000000000000e+00 4.326827767477780529e-01 2.835656945305726206e-01
3.525000000000659384e+00 4.855239564439865485e-01 2.907143605370248740e-01
3.674999999999857714e+00 5.509496633763900642e-01 3.042413376134966430e-01
3.825000000000022382e+00 6.277422867526910588e-01 3.164789221512770423e-01
3.974999999999250466e+00 7.192480728386135835e-01 3.322942209651851275e-01
4.125000000000000000e+00 8.279456033006201698e-01 3.520056134822975302e-01
4.275000000000798828e+00 9.638463244105026639e-01 3.715043423309222770e-01
4.425000000000374634e+00 1.160248941390442212e+00 4.009629995108331402e-01
4.574999999999541878e+00 1.437443446909992817e+00 4.392054184176004683e-01
4.724999999999138112e+00 1.748106953016451248e+00 4.694798112390816125e-01
4.875000000000000000e+00 1.972298201090034730e+00 4.993534764345475829e-01
5.025000000000897415e+00 2.001770511214851833e+00 4.965439641185053765e-01
5.175000000000743228e+00 1.889201187132934390e+00 4.699600833691469082e-01
5.324999999999196376e+00 1.702153803775656504e+00 4.473762712009186626e-01
5.474999999999057287e+00 1.495931533594802021e+00 4.125692738753994893e-01
5.625000000000000000e+00 1.333112899264210505e+00 3.841879132221838744e-01
5.775000000000969358e+00 1.178741491868794622e+00 3.590850585343019485e-01
5.925000000001017675e+00 1.067215283074719689e+00 3.305494997969710691e-01
6.074999999998936140e+00 9.672802602470729205e-01 3.144001762824800150e-01
6.224999999998995115e+00 9.098843293365589391e-01 3.021020036268483033e-01
6.375000000000000000e+00 8.611741414224381996e-01 2.870630304254670473e-01
6.525000000001025313e+00 8.248276925169020224e-01 2.773382203671556634e-01
6.675000000001229949e+00 8.028364046410467747e-01 2.722774106529516347e-01
6.824999999998733635e+00 7.877610953562167451e-01 2.720167220679914899e-01
6.974999999999387690e+00 7.893024465874096673e-01 2.643178344673844382e-01
7.125000000000000000e+00 7.971128931225243130e-01 2.623770666094583093e-01
7.275000000000346745e+00 8.068908138003725306e-01 2.622922299222788522e-01
7.425000000001398703e+00 8.223686728896968390e-01 2.606171477309328077e-01
7.574999999998571099e+00 8.469666986119391838e-01 2.656516415537056863e-01
7.725000000000012079e+00 8.746614566356183396e-01 2.680151030586362393e-01
7.875000000000000000e+00 8.980925910024386560e-01 2.658027415095353674e-01
8.024999999999771205e+00 9.413252450810447591e-01 2.700121908177579577e-01
8.175000000001539036e+00 9.688011899634583202e-01 2.724524382653361609e-01
8.324999999998437872e+00 1.004309404031814790e+00 2.729214867579886072e-01
8.475000000000525446e+00 1.046785577020344249e+00 2.744574545604973603e-01
8.625000000000000000e+00 1.084388339609954954e+00 2.807000437163910123e-01
8.774999999999291589e+00 1.110534170960463918e+00 2.809674829364167126e-01
8.925000000001652722e+00 1.139005510563583901e+00 2.817209368919078027e-01
9.074999999998325961e+00 1.158799147033132915e+00 2.805093132349801288e-01
9.225000000000957101e+00 1.181498933423278608e+00 2.854498634742206886e-01
9.375000000000000000e+00 1.188668776286381012e+00 2.795026939679006728e-01
9.524999999998890132e+00 1.189554985346974014e+00 2.776246483470844462e-01
9.675000000001750422e+00 1.177836268745317216e+00 2.751587514680178814e-01
9.824999999998231814e+00 1.168432989091847451e+00 2.742367314654406418e-01
9.975000000001321254e+00 1.154996173717580010e+00 2.682636662465385791e-01
1.012500000000000000e+01 1.126257766807167826e+00 2.655655473968353553e-01
1.027499999999854730e+01 1.098701003496619144e+00 2.612061223398937093e-01
1.042500000000183391e+01 1.071436814274159266e+00 2.525007130766696584e-01
1.057499999999815010e+01 1.044209057009671149e+00 2.471320966643453521e-01
1.072500000000163745e+01 1.017133414741643760e+00 2.426263635389074580e-01
1.087500000000000000e+01 9.939777678388825866e-01 2.381776513026089281e-01
1.102499999999824887e+01 9.790061786061640126e-01 2.376875874001860844e-01
1.117500000000190674e+01 9.677662661405533884e-01 2.331896941092408970e-01
1.132499999999808082e+01 9.631956009154352127e-01 2.313349132104473571e-01
1.147500000000190923e+01 9.552114181997629627e-01 2.278430645279577449e-01
1.162500000000000000e+01 9.588255331073096688e-01 2.285005098217873232e-01
1.177499999999798952e+01 9.655396824200536132e-01 2.285634656282407584e-01
1.192500000000196891e+01 9.698922535220408925e-01 2.254040279181895312e-01
1.207499999999801865e+01 9.795086199949841754e-01 2.259163753857392487e-01
1.222500000000215081e+01 9.986835456434263181e-01 2.238755257035839052e-01
1.237500000000000000e+01 1.010993868400214879e+00 2.275947339884412668e-01
1.252499999999776215e+01 1.025403082829578150e+00 2.267464540017697094e-01
1.267500000000202398e+01 1.038077784544783499e+00 2.273348429531548420e-01
1.282499999999796536e+01 1.055288343686183961e+00 2.274838896771353702e-01
1.297500000000236220e+01 1.072096126527607884e+00 2.293083856114418451e-01
1.312500000000000000e+01 1.077126859350289179e+00 2.251487811637113423e-01
1.327499999999756142e+01 1.095220910077729037e+00 2.289628647772754821e-01
1.342500000000173088e+01 1.097830166757825188e+00 2.267240155297637338e-01
1.357499999999841833e+01 1.103576587301642542e+00 2.289569773974227396e-01
1.372500000000255049e+01 1.107837267483843702e+00 2.245653601675760558e-01
1.387500000000000000e+01 1.106306994322132864e+00 2.268736947576217300e-01
1.402499999999738023e+01 1.098216988321118581e+00 2.201331093506473935e-01
1.417500000000102034e+01 1.102669610190946337e+00 2.200412651150293886e-01
1.432499999999911111e+01 1.088679345867514359e+00 2.188949462541769642e-01
1.447500000000271925e+01 1.086203872848187535e+00 2.164613942755503895e-01
1.462500000000000000e+01 1.073511828736690932e+00 2.142199931361168930e-01
1.477499999999721680e+01 1.064536097569497741e+00 2.117715788845266067e-01
1.492500000000038618e+01 1.053121308833961045e+00 2.097076332589982162e-01
1.507499999999973639e+01 1.044010075744593813e+00 2.070459681430826537e-01
1.522500000000287201e+01 1.033431146450395799e+00 2.078826015243717407e-01
1.537500000000000000e+01 1.025442005588994787e+00 2.031899851219372832e-01
1.552499999999706937e+01 1.022744936745943578e+00 2.032731132984559597e-01
1.567499999999980886e+01 1.016663025874277704e+00 1.994670034645930623e-01
1.582500000000029772e+01 1.013623675691047277e+00 2.006356307498405878e-01
1.597500000000300879e+01 1.008500996674054795e+00 2.019410108197650378e-01
1.612500000000000000e+01 1.003267030961511264e+00 1.997583583630155313e-01
1.627499999999693969e+01 1.007691962143586251e+00 1.976090425952037044e-01
1.642499999999928662e+01 1.010757930442967467e+00 1.979526829668001586e-01
1.657500000000081286e+01 1.008838621908649369e+00 1.997182783154066721e-01
1.672500000000313847e+01 1.010249621713964929e+00 1.971673236596251377e-01
1.687500000000000000e+01 1.024329402727655491e+00 1.942177196222630853e-01
1.702499999999681535e+01 1.026771543014379340e+00 1.954626835756967107e-01
1.717499999999880700e+01 1.030528761589352804e+00 1.935920329572346221e-01
1.732500000000128182e+01 1.036143749349079712e+00 1.947595462491699680e-01
1.747500000000325215e+01 1.038047520024091730e+00 1.926634937151426308e-01
