# Radius RDF_mean RDF_std
7.500000000000896228e-02 8.078287274807056852e-04 4.663538002735067439e-02
2.249999999999577616e-01 3.587426162210736276e-04 1.793444003960970382e-02
3.750000000000000000e-01 5.382454925282682996e-04 1.701316045434085947e-02
5.249999999999700462e-01 3.462123117774454253e-04 1.153580096152173259e-02
6.750000000001169509e-01 7.480382914438602794e-04 1.494281242336819096e-02
8.249999999998777200e-01 9.791664017649982874e-04 1.545177099180148651e-02
9.750000000001839418e-01 1.077037991592295994e-03 1.489770751893593898e-02
1.125000000000000000e+00 1.292394609183981566e-03 1.517686079592586376e-02
1.274999999999773648e+00 1.631484523393084618e-03 1.630508105352869094e-02
1.424999999999764455e+00 2.054888167711497408e-03 1.705958521914208506e-02
1.575000000000282396e+00 3.692524852915634800e-03 2.167311894641841055e-02
1.725000000000170397e+00 4.565445860906298080e-03 2.290421735533450243e-02
1.875000000000000000e+00 6.278935072894557823e-03 2.591687416062276109e-02
2.025000000000070521e+00 8.556223067266780641e-03 2.911679894481026404e-02
2.174999999999594813e+00 1.220946280830787455e-02 3.376200127388442190e-02
2.325000000000426059e+00 1.768372397280367284e-02 3.966714881822908795e-02
2.474999999999678124e+00 2.459980827119551475e-02 4.449739109064957537e-02
2.625000000000000000e+00 3.636675450493455364e-02 5.282989079860651860e-02
2.775000000000444444e+00 5.608556292365405455e-02 6.485533901062512374e-02
2.924999999999512212e+00 8.709453599578258209e-02 7.779355355852539400e-02
3.075000000000499334e+00 1.408616884689108950e-01 9.656289533971175454e-02
3.224999999999414779e+00 2.278579259985104855e-01 1.195142329262285363e-01
3.375000000000000000e+00 3.636312750504753777e-01 1.479762812721069631e-01
3.525000000000659384e+00 5.731158427420266488e-01 1.818845086222633523e-01
3.674999999999857714e+00 8.621403720290125028e-01 2.152142285275165656e-01
3.825000000000022382e+00 1.225191870262910987e+00 2.503880970577226917e-01
3.974999999999250466e+00 1.635691656685651196e+00 2.862165653793811160e-01
4.125000000000000000e+00 2.028788823848179046e+00 3.090408700381642726e-01
4.275000000000798828e+00 2.288488412155180285e+00 3.184518851906206760e-01
4.425000000000374634e+00 2.307455958944882202e+00 3.193582867806609715e-01
4.574999999999541878e+00 2.120841699069443642e+00 2.993162614795493726e-01
4.724999999999138112e+00 1.837510837547665199e+00 2.734571951397934408e-01
4.875000000000000000e+00 1.532640967957546119e+00 2.503186404842001056e-01
5.025000000000897415e+00 1.260372243574308326e+00 2.222832180930863211e-01
5.175000000000743228e+00 1.030919860797623988e+00 1.972893479818873252e-01
5.324999999999196376e+00 8.545246564138263556e-01 1.791744371647448208e-01
5.474999999999057287e+00 7.139843567433453719e-01 1.614552670881219121e-01
5.625000000000000000e+00 6.166960815844415578e-01 1.483600879813214979e-01
5.775000000000969358e+00 5.489797034576541224e-01 1.380399836823363036e-01
5.925000000001017675e+00 5.148896421113375865e-01 1.306352039904380702e-01
6.074999999998936140e+00 5.134335654097458290e-01 1.300875705090377699e-01
6.224999999998995115e+00 5.390051223443573791e-01 1.317110922563499431e-01
6.375000000000000000e+00 5.913766043310032527e-01 1.355646277026038571e-01
6.525000000001025313e+00 6.692044878893358417e-01 1.426108178848664865e-01
6.675000000001229949e+00 7.669188624305762758e-01 1.510495153928664569e-01
6.824999999998733635e+00 8.812132294702778035e-01 1.593918880631575441e-01
