# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743368636162608027e+03 4.349039914188752021e-01
2.249999999999577616e-01 1.508513963610899969e-02 2.047380269281540155e-01
3.750000000000000000e-01 1.692887892496677121e-02 1.676042817807814334e-01
5.249999999999700462e-01 1.795849956679643894e-02 1.465157271710907094e-01
6.750000000001169509e-01 2.318641832957484689e-02 1.468864299470706569e-01
8.249999999998777200e-01 2.308483489768180588e-02 1.319277546223620035e-01
9.750000000001839418e-01 2.572209707182692567e-02 1.307131115162641910e-01
1.125000000000000000e+00 2.871763619614818228e-02 1.266230066560427026e-01
1.274999999999773648e+00 3.224078863403716244e-02 1.248410591420821975e-01
1.424999999999764455e+00 3.753641470856323992e-02 1.303014793990466824e-01
1.575000000000282396e+00 4.800905550856984783e-02 1.393013176846205070e-01
1.725000000000170397e+00 5.112186210014879606e-02 1.354730217770137579e-01
1.875000000000000000e+00 6.013942334928962935e-02 1.413668050846701441e-01
2.025000000000070521e+00 6.841079785593684459e-02 1.442748070536275518e-01
2.174999999999594813e+00 8.143663504703699263e-02 1.533607861056956734e-01
2.325000000000426059e+00 9.329537076023394770e-02 1.592622279354465598e-01
2.474999999999678124e+00 1.147130904651656597e-01 1.703478168015853389e-01
2.625000000000000000e+00 1.348324147475115642e-01 1.807318049393426274e-01
2.775000000000444444e+00 1.574879517865756529e-01 1.900440292154076949e-01
2.924999999999512212e+00 1.936356029358528297e-01 2.057648716668279976e-01
3.075000000000499334e+00 2.259091643065961885e-01 2.183000228619389471e-01
3.224999999999414779e+00 2.737348658774545473e-01 2.313484669793122450e-01
3.375000000000000000e+00 3.315937175566733286e-01 2.502656358195852748e-01
3.525000000000659384e+00 3.957798574031657357e-01 2.649642506531474928e-01
3.674999999999857714e+00 4.824166083629151669e-01 2.874323633513257148e-01
3.825000000000022382e+00 5.855104688171796079e-01 3.083399451223534649e-01
3.974999999999250466e+00 7.157218819173852831e-01 3.323939172621953597e-01
4.125000000000000000e+00 8.877985613719758806e-01 3.667412660880651210e-01
4.275000000000798828e+00 1.103258891690829024e+00 4.018528196305236055e-01
4.425000000000374634e+00 1.408429317776624723e+00 4.469615092931953915e-01
4.574999999999541878e+00 1.858920599693776987e+00 5.075520042389646269e-01
4.724999999999138112e+00 2.354918002082406314e+00 5.502283885362203586e-01
4.875000000000000000e+00 2.670585446861011292e+00 5.738323051396118091e-01
5.025000000000897415e+00 2.693197761351831421e+00 5.708203210478119960e-01
5.175000000000743228e+00 2.493542002651513378e+00 5.476992011648329495e-01
5.324999999999196376e+00 2.194049753740901387e+00 4.966543986959934820e-01
5.474999999999057287e+00 1.891348173234458585e+00 4.605154882991412957e-01
5.625000000000000000e+00 1.609003341942397025e+00 4.183650419402853426e-01
5.775000000000969358e+00 1.375120405616490293e+00 3.877550067997584948e-01
5.925000000001017675e+00 1.204689491615021479e+00 3.511083352293467019e-01
6.074999999998936140e+00 1.064443872265383284e+00 3.245000885356632003e-01
6.224999999998995115e+00 9.578255897061792590e-01 3.116856941897485633e-01
6.375000000000000000e+00 8.775903227911407978e-01 2.940580597373194660e-01
6.525000000001025313e+00 8.214272747062077995e-01 2.805704163462972023e-01
6.675000000001229949e+00 7.768281926092542866e-01 2.658632235458012749e-01
6.824999999998733635e+00 7.502508549790030123e-01 2.612034880156196004e-01
6.974999999999387690e+00 7.329899988060125660e-01 2.565279849430618930e-01
7.125000000000000000e+00 7.292474081982026624e-01 2.546398601111991566e-01
7.275000000000346745e+00 7.408306891396155835e-01 2.543523839503528117e-01
7.425000000001398703e+00 7.462149601139183019e-01 2.488824161755253395e-01
7.574999999998571099e+00 7.780961491181573875e-01 2.528249183747269258e-01
7.725000000000012079e+00 8.119613023552246789e-01 2.549516919134272586e-01
7.875000000000000000e+00 8.605712992408791617e-01 2.629481618961928557e-01
8.024999999999771205e+00 9.239373894257190134e-01 2.651508806861233025e-01
8.175000000001539036e+00 9.922438967679908517e-01 2.721766004812448125e-01
8.324999999998437872e+00 1.069580190895747185e+00 2.850908030831055262e-01
