# Radius RDF_mean RDF_std
7.500000000000896228e-02 1.743346846516467394e+03 8.380633131168438443e-02
2.249999999999577616e-01 2.514189939351499804e-03 8.377280207199015727e-02
3.750000000000000000e-01 4.525541890832696784e-03 8.698079828377801304e-02
5.249999999999700462e-01 4.549486556921761467e-03 7.366575646703418800e-02
6.750000000001169509e-01 4.562789149193465996e-03 6.502607546814230532e-02
8.249999999998777200e-01 6.933069226696565203e-03 7.235052181441163632e-02
9.750000000001839418e-01 8.638498765976920443e-03 7.524039134600563061e-02
1.125000000000000000e+00 1.055959774527631852e-02 7.608433380543122571e-02
1.274999999999773648e+00 1.271884322260167545e-02 7.939404818989814760e-02
1.424999999999764455e+00 1.530568261324499399e-02 8.287201039967331817e-02
1.575000000000282396e+00 2.338595721365020058e-02 9.838093437836288591e-02
1.725000000000170397e+00 2.678158848439642428e-02 9.932535291476497774e-02
1.875000000000000000e+00 3.476286622810031979e-02 1.092227695664336196e-01
2.025000000000070521e+00 4.503814323455562069e-02 1.187079726940519497e-01
2.174999999999594813e+00 5.843324203871916311e-02 1.311441785287648931e-01
2.325000000000426059e+00 7.491204647250442050e-02 1.438548903511761290e-01
2.474999999999678124e+00 9.749469875930244500e-02 1.571209120523242020e-01
2.625000000000000000e+00 1.227643030386230544e-01 1.728196351224787763e-01
2.775000000000444444e+00 1.585751690576463480e-01 1.903007126780725811e-01
2.924999999999512212e+00 1.978044306985375922e-01 2.043533071371556598e-01
3.075000000000499334e+00 2.559159190299092890e-01 2.252337471842733307e-01
3.224999999999414779e+00 3.293978617440198042e-01 2.545733466145420065e-01
3.375000000000000000e+00 4.163312303274041004e-01 2.765818977273453716e-01
3.525000000000659384e+00 5.435286363922892106e-01 3.061300188390813637e-01
3.674999999999857714e+00 7.174677126929013271e-01 3.491967147190297993e-01
3.825000000000022382e+00 9.625403640360199464e-01 3.900933633545103363e-01
3.974999999999250466e+00 1.340679925772649383e+00 4.542227275543810339e-01
4.125000000000000000e+00 1.719644968457300083e+00 5.073492120978775333e-01
4.275000000000798828e+00 1.950305655409999117e+00 5.251980025574690680e-01
4.425000000000374634e+00 1.976664652995920646e+00 5.246436688796876080e-01
4.574999999999541878e+00 1.864141321972210941e+00 5.025912012608021451e-01
4.724999999999138112e+00 1.709170265437178982e+00 4.740688879007273759e-01
4.875000000000000000e+00 1.549656425644148738e+00 4.471679780587454744e-01
5.025000000000897415e+00 1.401179317493715049e+00 4.139277295562660552e-01
5.175000000000743228e+00 1.274706445096173812e+00 3.905984161246195407e-01
5.324999999999196376e+00 1.175377894792641875e+00 3.653392397127235292e-01
5.474999999999057287e+00 1.091652087410923233e+00 3.491581437491283468e-01
5.625000000000000000e+00 1.034427134469255938e+00 3.436747491768200047e-01
5.775000000000969358e+00 9.781396097381261923e-01 3.286592547418794585e-01
5.925000000001017675e+00 9.458658370146219019e-01 3.179374577411007707e-01
6.074999999998936140e+00 9.168309180895539701e-01 3.071591301348727820e-01
6.224999999998995115e+00 9.073095565070991020e-01 3.018720742064535667e-01
6.375000000000000000e+00 9.011842699474879037e-01 2.998285202192451093e-01
6.525000000001025313e+00 8.952539095536731217e-01 2.895227640255464974e-01
6.675000000001229949e+00 9.081498888422200322e-01 2.894575382362283289e-01
6.824999999998733635e+00 9.221643480115089275e-01 2.904048627800559501e-01
6.974999999999387690e+00 9.464258006466929052e-01 2.892579347341563412e-01
7.125000000000000000e+00 9.840010119476876316e-01 2.960821587149247702e-01
7.275000000000346745e+00 1.034152848730647056e+00 2.952112894800084097e-01
7.425000000001398703e+00 1.084826399757225612e+00 3.006268090563942175e-01
7.574999999998571099e+00 1.151175383616937387e+00 3.102651376961887419e-01
7.725000000000012079e+00 1.218169776569401064e+00 3.158895961166408584e-01
7.875000000000000000e+00 1.290856948861306419e+00 3.160634743332761953e-01
8.024999999999771205e+00 1.362463808473560745e+00 3.237147162442397530e-01
8.175000000001539036e+00 1.423162212795214820e+00 3.270595682938692295e-01
8.324999999998437872e+00 1.474228868972326856e+00 3.323115496607458308e-01
8.475000000000525446e+00 1.512021963142804015e+00 3.324909797425236735e-01
8.625000000000000000e+00 1.534311738640746103e+00 3.338068413790490352e-01
8.774999999999291589e+00 1.530267795080439752e+00 3.317328269796012696e-01
8.925000000001652722e+00 1.515542427362936539e+00 3.220517199946633102e-01
9.074999999998325961e+00 1.482991126347787514e+00 3.243284434959198270e-01
9.225000000000957101e+00 1.446204296956578927e+00 3.172868619200472362e-01
9.375000000000000000e+00 1.399002554359247918e+00 3.057829905959404959e-01
9.524999999998890132e+00 1.345520547595207672e+00 2.984035621573961627e-01
9.675000000001750422e+00 1.304552741011582695e+00 2.921466390403783531e-01
9.824999999998231814e+00 1.253896254740181515e+00 2.796351838659154598e-01
9.975000000001321254e+00 1.216741906087766889e+00 2.771921915641491485e-01
1.012500000000000000e+01 1.174213611946651303e+00 2.733480343224706788e-01
1.027499999999854730e+01 1.151156426197200711e+00 2.604035965821257514e-01
1.042500000000183391e+01 1.118917019963347581e+00 2.620777685582481586e-01
